date,nino1+2,nino1+2 anom,year,season,ESOI 3m mean,SAM 3m mean,TNI 3m mean,IODW anom 3m mean,IODW 3m mean,IODE anom 3m mean,IODE 3m mean,DMI anom 3m mean,DMI 3m mean,SOI 3m mean,nino3.4 anom 3m mean,nino3.4 3m mean,nino4 anom 3m mean,nino4 3m mean,nino3 anom 3m mean,nino3 3m mean,nino1+2 anom 3m mean,nino1+2 3m mean,TNI,nino3.4 anom 3m mean,nino3.4 3m mean,nino4 anom 3m mean,nino4 3m mean,nino3 anom 3m mean,nino3 3m mean,nino1+2 anom 3m mean,nino1+2 3m mean,nino3,nino3 anom,nino4,nino4 anom,nino3.4,nino3.4 anom,date,SOI,SOI 3m mean,IODE,IODW,IODE anom,IODW anom,DMI,DMI anom,SAM,ESOI,idck_AR,idck_AR-W,idck_AR-N,idck_AR-E,idck_AR-NW,AR,AR-W,AR-NW,AR-N,AR-E,SPO,SPO-W,SPO-E
1877-03-01,,,1877,2,,,,,,,,,,-6.966666666666666,,,,,,,,,,,,,,,,,,,,,,,,187703.0,-4.7,-6.966666666666666,,,,,,,,,,,,,,,,,,,,,
1877-04-01,,,1877,2,,,,,,,,,,-6.933333333333334,,,,,,,,,,,,,,,,,,,,,,,,187704.0,-9.6,-6.933333333333334,,,,,,,,,,,,,,,,,,,,,
1877-05-01,,,1877,2,,,,,,,,,,-3.566666666666667,,,,,,,,,,,,,,,,,,,,,,,,187705.0,3.6,-3.566666666666667,,,,,,,,,,,,,,,,,,,,,
1877-06-01,,,1877,3,,,,,,,,,,-7.6000000000000005,,,,,,,,,,,,,,,,,,,,,,,,187706.0,-16.8,-7.6000000000000005,,,,,,,,,,,,,,,,,,,,,
1877-07-01,,,1877,3,,,,,,,,,,-7.8,,,,,,,,,,,,,,,,,,,,,,,,187707.0,-10.2,-7.8,,,,,,,,,,,,,,,,,,,,,
1877-08-01,,,1877,3,,,,,,,,,,-11.733333333333334,,,,,,,,,,,,,,,,,,,,,,,,187708.0,-8.2,-11.733333333333334,,,,,,,,,,,,,,,,,,,,,
1877-09-01,,,1877,4,,,,,,,,,,-11.866666666666665,,,,,,,,,,,,,,,,,,,,,,,,187709.0,-17.2,-11.866666666666665,,,,,,,,,,,,,,,,,,,,,
1877-10-01,,,1877,4,,,,,,,,,,-13.799999999999999,,,,,,,,,,,,,,,,,,,,,,,,187710.0,-16.0,-13.799999999999999,,,,,,,,,,,,,,,,,,,,,
1877-11-01,,,1877,4,,,,,,,,,,-15.266666666666667,,,,,,,,,,,,,,,,,,,,,,,,187711.0,-12.6,-15.266666666666667,,,,,,,,,,,,,,,,,,,,,
1877-12-01,,,1877,1,,,,,,,,,,-13.733333333333334,,,,,,,,,,,,,,,,,,,,,,,,187712.0,-12.6,-13.733333333333334,,,,,,,,,,,,,,,,,,,,,
1878-01-01,,,1878,1,,,,,,,,,,-11.299999999999999,,,,,,,,,,,,,,,,,,,,,,,,187801.0,-8.7,-11.299999999999999,,,,,,,,,,,,,,,,,,,,,
1878-02-01,,,1878,1,,,,,,,,,,-14.133333333333333,,,,,,,,,,,,,,,,,,,,,,,,187802.0,-21.1,-14.133333333333333,,,,,,,,,,,,,,,,,,,,,
1878-03-01,,,1878,2,,,,,,,,,,-15.1,,,,,,,,,,,,,,,,,,,,,,,,187803.0,-15.5,-15.1,,,,,,,,,,,,,,,,,,,,,
1878-04-01,,,1878,2,,,,,,,,,,-15.133333333333333,,,,,,,,,,,,,,,,,,,,,,,,187804.0,-8.8,-15.133333333333333,,,,,,,,,,,,,,,,,,,,,
1878-05-01,,,1878,2,,,,,,,,,,-7.3999999999999995,,,,,,,,,,,,,,,,,,,,,,,,187805.0,2.1,-7.3999999999999995,,,,,,,,,,,,,,,,,,,,,
1878-06-01,,,1878,3,,,,,,,,,,-3.266666666666667,,,,,,,,,,,,,,,,,,,,,,,,187806.0,-3.1,-3.266666666666667,,,,,,,,,,,,,,,,,,,,,
1878-07-01,,,1878,3,,,,,,,,,,4.966666666666667,,,,,,,,,,,,,,,,,,,,,,,,187807.0,15.9,4.966666666666667,,,,,,,,,,,,,,,,,,,,,
1878-08-01,,,1878,3,,,,,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,187808.0,13.0,8.6,,,,,,,,,,,,,,,,,,,,,
1878-09-01,,,1878,4,,,,,,,,,,15.533333333333331,,,,,,,,,,,,,,,,,,,,,,,,187809.0,17.7,15.533333333333331,,,,,,,,,,,,,,,,,,,,,
1878-10-01,,,1878,4,,,,,,,,,,13.866666666666667,,,,,,,,,,,,,,,,,,,,,,,,187810.0,10.9,13.866666666666667,,,,,,,,,,,,,,,,,,,,,
1878-11-01,,,1878,4,,,,,,,,,,14.566666666666668,,,,,,,,,,,,,,,,,,,,,,,,187811.0,15.1,14.566666666666668,,,,,,,,,,,,,,,,,,,,,
1878-12-01,,,1878,1,,,,,,,,,,14.633333333333333,,,,,,,,,,,,,,,,,,,,,,,,187812.0,17.9,14.633333333333333,,,,,,,,,,,,,,,,,,,,,
1879-01-01,,,1879,1,,,,,,,,,,15.233333333333334,,,,,,,,,,,,,,,,,,,,,,,,187901.0,12.7,15.233333333333334,,,,,,,,,,,,,,,,,,,,,
1879-02-01,,,1879,1,,,,,,,,,,14.966666666666667,,,,,,,,,,,,,,,,,,,,,,,,187902.0,14.3,14.966666666666667,,,,,,,,,,,,,,,,,,,,,
1879-03-01,,,1879,2,,,,,,,,,,13.4,,,,,,,,,,,,,,,,,,,,,,,,187903.0,13.2,13.4,,,,,,,,,,,,,,,,,,,,,
1879-04-01,,,1879,2,,,,,,,,,,13.4,,,,,,,,,,,,,,,,,,,,,,,,187904.0,12.7,13.4,,,,,,,,,,,,,,,,,,,,,
1879-05-01,,,1879,2,,,,,,,,,,9.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,187905.0,2.1,9.333333333333334,,,,,,,,,,,,,,,,,,,,,
1879-06-01,,,1879,3,,,,,,,,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,187906.0,16.4,10.4,,,,,,,,,,,,,,,,,,,,,
1879-07-01,,,1879,3,,,,,,,,,,13.433333333333332,,,,,,,,,,,,,,,,,,,,,,,,187907.0,21.8,13.433333333333332,,,,,,,,,,,,,,,,,,,,,
1879-08-01,,,1879,3,,,,,,,,,,20.266666666666666,,,,,,,,,,,,,,,,,,,,,,,,187908.0,22.6,20.266666666666666,,,,,,,,,,,,,,,,,,,,,
1879-09-01,,,1879,4,,,,,,,,,,21.099999999999998,,,,,,,,,,,,,,,,,,,,,,,,187909.0,18.9,21.099999999999998,,,,,,,,,,,,,,,,,,,,,
1879-10-01,,,1879,4,,,,,,,,,,18.900000000000002,,,,,,,,,,,,,,,,,,,,,,,,187910.0,15.2,18.900000000000002,,,,,,,,,,,,,,,,,,,,,
1879-11-01,,,1879,4,,,,,,,,,,14.633333333333331,,,,,,,,,,,,,,,,,,,,,,,,187911.0,9.8,14.633333333333331,,,,,,,,,,,,,,,,,,,,,
1879-12-01,,,1879,1,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,187912.0,-5.5,6.5,,,,,,,,,,,,,,,,,,,,,
1880-01-01,,,1880,1,,,,,,,,,,5.033333333333334,,,,,,,,,,,,,,,,,,,,,,,,188001.0,10.8,5.033333333333334,,,,,,,,,,,,,,,,,,,,,
1880-02-01,,,1880,1,,,,,,,,,,4.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,188002.0,7.7,4.333333333333333,,,,,,,,,,,,,,,,,,,,,
1880-03-01,,,1880,2,,,,,,,,,,10.933333333333332,,,,,,,,,,,,,,,,,,,,,,,,188003.0,14.3,10.933333333333332,,,,,,,,,,,,,,,,,,,,,
1880-04-01,,,1880,2,,,,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,188004.0,5.3,9.1,,,,,,,,,,,,,,,,,,,,,
