 1999  -3.108   1.575   1.255  -1.798  -0.373   0.639  -0.934   0.344   3.981   0.361  -2.942  -2.436
 2000  -0.023  -0.319  -1.656   0.231   0.472   0.157  -2.249   0.289   2.001  -1.273  -0.414  -0.190
 2001  -2.208   0.312   0.185  -0.092   0.389   0.397  -0.540  -0.862   0.918   1.266   0.166   0.102
 2002  -1.529  -0.522  -1.092   0.595  -1.886   0.550   1.609   2.167  -0.403   1.271  -0.896   0.554
 2003   0.215   1.567  -0.938   0.647   2.716   1.579   3.954   0.875  -0.848   2.614   3.438   1.738
 2004   3.166  -0.465   1.708  -0.894  -2.332  -2.190   0.152   0.826  -0.813  -1.046  -0.297  -0.733
 2005  -0.528   0.353   0.750   0.875  -2.040  -1.598  -1.617   1.221   0.453   0.404   0.065   0.281
 2006  -0.092  -1.012  -0.070  -1.236   0.820   0.199  -0.873   0.995  -0.066   0.293   1.493   3.280
 2007   2.730   1.629   1.982   0.787   0.873   1.739  -1.182  -3.460  -2.638   1.272   2.867   0.696
 2008   2.949   1.060   1.248   0.477   0.067   0.197   0.694   1.107   1.678   1.395   2.558  -0.640
 2009   1.440   3.129   0.361   0.785   1.662   2.691   2.488  -0.027   0.645  -1.625  -0.883   0.030
 2010   0.858   0.652   0.279   0.502   0.437  -0.753  -1.833   0.464   2.139   2.621   0.678   0.377
 2011   0.429   0.617   2.247  -1.153   1.084   1.435   1.877   2.009  -0.026  -0.710  -3.425  -5.359
 2012   1.144   1.103   0.833   1.169   2.954   2.826   3.754   0.078  -3.177   1.023  -0.809  -0.169
 2013   0.645  -0.945  -2.006   0.732   0.165  -0.789  -0.532  -1.480  -0.261  -0.781  -3.741  -3.976
 2014   0.078  -1.134  -1.313  -1.430   0.871  -1.810  -2.167  -0.357   0.291   0.523   1.072   1.317
 2015   1.343  -0.103  -0.160  -1.009  -0.520   0.438   0.713  -1.638  -2.192  -1.229  -1.473   2.325
 2016   1.299  -0.449  -0.824  -1.910  -1.009   0.014   0.594  -1.118   0.972   0.947   1.167   2.432
 2017   1.621   0.640   0.400   1.983  -0.380  -1.355  -1.983   0.749  -1.466   1.601   2.452   2.299
 2018   4.417   2.400   0.890   1.208  -1.567  -1.979  -2.239   0.195   1.131   0.519   1.037   1.937
 2019   0.477   3.498   0.824   1.773   1.365   0.907   2.411   1.811   0.153   0.801   2.742   1.572
 2020   2.843   2.072   0.369   2.921  -3.771  -2.294  -1.614   0.244  -0.092  -0.448   0.091  -0.671
 2021   2.023   0.598  -0.064  -0.232  -3.948  -1.362   2.336   0.404   1.058  -3.107  -0.145  -0.003

