1972 12   -12.1	-12.1	-12.1	-12.1	-12.1	-12.1	-12.1	-12.1	-12.1	-12.1	-12.1	-12.1
1973  1   -3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0
1973  2   -13.5	-13.5	-13.5	-13.5	-13.5	-13.5	-13.5	-13.5	-13.5	-13.5	-13.5	-13.5
1973  3   0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8
1973  4   -2.1	-2.1	-2.1	-2.1	-2.1	-2.1	-2.1	-2.1	-2.1	-2.1	-2.1	-2.1
1973  5   2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8
1973  6   12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3
1973  7   6.1	6.1	6.1	6.1	6.1	6.1	6.1	6.1	6.1	6.1	6.1	6.1
1973  8   12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3
1973  9   13.5	13.5	13.5	13.5	13.5	13.5	13.5	13.5	13.5	13.5	13.5	13.5
1973 10   9.7	9.7	9.7	9.7	9.7	9.7	9.7	9.7	9.7	9.7	9.7	9.7
1973 11   31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6
1973 12   16.9	16.9	16.9	16.9	16.9	16.9	16.9	16.9	16.9	16.9	16.9	16.9
1974  1   20.8	20.8	20.8	20.8	20.8	20.8	20.8	20.8	20.8	20.8	20.8	20.8
1974  2   16.2	16.2	16.2	16.2	16.2	16.2	16.2	16.2	16.2	16.2	16.2	16.2
1974  3   20.3	20.3	20.3	20.3	20.3	20.3	20.3	20.3	20.3	20.3	20.3	20.3
1974  4   11.1	11.1	11.1	11.1	11.1	11.1	11.1	11.1	11.1	11.1	11.1	11.1
1974  5   10.7	10.7	10.7	10.7	10.7	10.7	10.7	10.7	10.7	10.7	10.7	10.7
1974  6   2.6	2.6	2.6	2.6	2.6	2.6	2.6	2.6	2.6	2.6	2.6	2.6
1974  7   12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0
1974  8   6.6	6.6	6.6	6.6	6.6	6.6	6.6	6.6	6.6	6.6	6.6	6.6
1974  9   12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3	12.3
1974 10   8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5
1974 11   -1.4	-1.4	-1.4	-1.4	-1.4	-1.4	-1.4	-1.4	-1.4	-1.4	-1.4	-1.4
1974 12   -0.9	-0.9	-0.9	-0.9	-0.9	-0.9	-0.9	-0.9	-0.9	-0.9	-0.9	-0.9
1975  1   -4.9	-4.9	-4.9	-4.9	-4.9	-4.9	-4.9	-4.9	-4.9	-4.9	-4.9	-4.9
1975  2   5.3	5.3	5.3	5.3	5.3	5.3	5.3	5.3	5.3	5.3	5.3	5.3
1975  3   11.6	11.6	11.6	11.6	11.6	11.6	11.6	11.6	11.6	11.6	11.6	11.6
1975  4   14.4	14.4	14.4	14.4	14.4	14.4	14.4	14.4	14.4	14.4	14.4	14.4
1975  5   6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0
1975  6   15.5	15.5	15.5	15.5	15.5	15.5	15.5	15.5	15.5	15.5	15.5	15.5
1975  7   21.1	21.1	21.1	21.1	21.1	21.1	21.1	21.1	21.1	21.1	21.1	21.1
1975  8   20.7	20.7	20.7	20.7	20.7	20.7	20.7	20.7	20.7	20.7	20.7	20.7
1975  9   22.5	22.5	22.5	22.5	22.5	22.5	22.5	22.5	22.5	22.5	22.5	22.5
1975 10   17.7	17.7	17.7	17.7	17.7	17.7	17.7	17.7	17.7	17.7	17.7	17.7
1975 11   13.8	13.8	13.8	13.8	13.8	13.8	13.8	13.8	13.8	13.8	13.8	13.8
1975 12   19.5	19.5	19.5	19.5	19.5	19.5	19.5	19.5	19.5	19.5	19.5	19.5
1976  1   11.8	11.8	11.8	11.8	11.8	11.8	11.8	11.8	11.8	11.8	11.8	11.8
1976  2   12.9	12.9	12.9	12.9	12.9	12.9	12.9	12.9	12.9	12.9	12.9	12.9
1976  3   13.2	13.2	13.2	13.2	13.2	13.2	13.2	13.2	13.2	13.2	13.2	13.2
1976  4   1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2
1976  5   2.1	2.1	2.1	2.1	2.1	2.1	2.1	2.1	2.1	2.1	2.1	2.1
1976  6   0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
1976  7   -12.8	-12.8	-12.8	-12.8	-12.8	-12.8	-12.8	-12.8	-12.8	-12.8	-12.8	-12.8
1976  8   -12.1	-12.1	-12.1	-12.1	-12.1	-12.1	-12.1	-12.1	-12.1	-12.1	-12.1	-12.1
1976  9   -13.0	-13.0	-13.0	-13.0	-13.0	-13.0	-13.0	-13.0	-13.0	-13.0	-13.0	-13.0
1976 10   3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
1976 11   9.8	9.8	9.8	9.8	9.8	9.8	9.8	9.8	9.8	9.8	9.8	9.8
1976 12   -3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0
1977  1   -4.0	-4.0	-4.0	-4.0	-4.0	-4.0	-4.0	-4.0	-4.0	-4.0	-4.0	-4.0
1977  2   7.7	7.7	7.7	7.7	7.7	7.7	7.7	7.7	7.7	7.7	7.7	7.7
1977  3   -9.5	-9.5	-9.5	-9.5	-9.5	-9.5	-9.5	-9.5	-9.5	-9.5	-9.5	-9.5
1977  4   -9.6	-9.6	-9.6	-9.6	-9.6	-9.6	-9.6	-9.6	-9.6	-9.6	-9.6	-9.6
1977  5   -11.4	-11.4	-11.4	-11.4	-11.4	-11.4	-11.4	-11.4	-11.4	-11.4	-11.4	-11.4
