1969070119690731	5
1969080119690831	5
1969090119690930	5
1969100119691031	5
1969110119691130	5
1969120119691231	5
1970010119700131	5
1970020119700228	5
1970030119700331	5
1970040119700430	5
1970050119700531	5
1970060119700630	5
1970070119700731	6
1970080119700831	6
1970090119700930	6
1970100119701031	6
1970110119701130	6
1970120119701231	6
1971010119710131	6
1971020119710228	6
1971030119710331	6
1971040119710430	6
1971050119710531	6
1971060119710630	6
1971070119710731	12
1971080119710831	12
1971090119710930	12
1971100119711031	12
1971110119711130	12
1971120119711231	12
1972010119720131	12
1972020119720229	12
1972030119720331	12
1972040119720430	12
1972050119720531	12
1972060119720630	12
1972070119720731	2
1972080119720831	2
1972090119720930	2
1972100119721031	2
1972110119721130	2
1972120119721231	2
1973010119730131	2
1973020119730228	2
1973030119730331	2
1973040119730430	2
1973050119730531	2
1973060119730630	2
1973070119730731	7
1973080119730831	7
1973090119730930	7
1973100119731031	7
1973110119731130	7
1973120119731231	7
1974010119740131	7
1974020119740228	7
1974030119740331	7
1974040119740430	7
1974050119740531	7
1974060119740630	7
1974070119740731	3
1974080119740831	3
1974090119740930	3
1974100119741031	3
1974110119741130	3
1974120119741231	3
1975010119750131	3
1975020119750228	3
1975030119750331	3
1975040119750430	3
1975050119750531	3
1975060119750630	3
1975070119750731	8
1975080119750831	8
1975090119750930	8
1975100119751031	8
1975110119751130	8
1975120119751231	8
1976010119760131	8
1976020119760229	8
1976030119760331	8
1976040119760430	8
1976050119760531	8
1976060119760630	8
1976070119760731	5
1976080119760831	5
1976090119760930	5
1976100119761031	5
1976110119761130	5
1976120119761231	5
1977010119770131	5
1977020119770228	5
1977030119770331	5
1977040119770430	5
1977050119770531	5
1977060119770630	5
1977070119770731	3
1977080119770831	3
1977090119770930	3
1977100119771031	3
1977110119771130	3
1977120119771231	3
1978010119780131	3
1978020119780228	3
1978030119780331	3
1978040119780430	3
1978050119780531	3
1978060119780630	3
1978070119780731	4
1978080119780831	4
1978090119780930	4
1978100119781031	4
1978110119781130	4
1978120119781231	4
1979010119790131	4
1979020119790228	4
1979030119790331	4
1979040119790430	4
1979050119790531	4
1979060119790630	4
1979070119790731	4
1979080119790831	4
1979090119790930	4
1979100119791031	4
1979110119791130	4
1979120119791231	4
1980010119800131	4
1980020119800229	4
1980030119800331	4
1980040119800430	4
1980050119800531	4
1980060119800630	4
1980070119800731	3
1980080119800831	3
1980090119800930	3
1980100119801031	3
1980110119801130	3
1980120119801231	3
1981010119810131	3
1981020119810228	3
1981030119810331	3
1981040119810430	3
1981050119810531	3
1981060119810630	3
1981070119810731	5
1981080119810831	5
1981090119810930	5
1981100119811031	5
1981110119811130	5
1981120119811231	5
1982010119820131	5
1982020119820228	5
1982030119820331	5
1982040119820430	5
1982050119820531	5
1982060119820630	5
1982070119820731	3
1982080119820831	3
1982090119820930	3
1982100119821031	3
1982110119821130	3
1982120119821231	3
1983010119830131	3
1983020119830228	3
1983030119830331	3
1983040119830430	3
1983050119830531	3
1983060119830630	3
1983070119830731	8
1983080119830831	8
1983090119830930	8
1983100119831031	8
1983110119831130	8
1983120119831231	8
1984010119840131	8
1984020119840229	8
1984030119840331	8
1984040119840430	8
1984050119840531	8
1984060119840630	8
1984070119840731	6
1984080119840831	6
1984090119840930	6
1984100119841031	6
1984110119841130	6
1984120119841231	6
1985010119850131	6
1985020119850228	6
1985030119850331	6
1985040119850430	6
1985050119850531	6
1985060119850630	6
1985070119850731	6
1985080119850831	6
1985090119850930	6
1985100119851031	6
1985110119851130	6
1985120119851231	6
1986010119860131	6
1986020119860228	6
1986030119860331	6
1986040119860430	6
1986050119860531	6
1986060119860630	6
1986070119860731	5
1986080119860831	5
1986090119860930	5
1986100119861031	5
1986110119861130	5
1986120119861231	5
1987010119870131	5
1987020119870228	5
1987030119870331	5
1987040119870430	5
1987050119870531	5
1987060119870630	5
1987070119870731	3
1987080119870831	3
1987090119870930	3
1987100119871031	3
1987110119871130	3
1987120119871231	3
1988010119880131	3
1988020119880229	3
1988030119880331	3
1988040119880430	3
1988050119880531	3
1988060119880630	3
1988070119880731	5
1988080119880831	5
1988090119880930	5
1988100119881031	5
1988110119881130	5
1988120119881231	5
1989010119890131	5
1989020119890228	5
1989030119890331	5
1989040119890430	5
1989050119890531	5
1989060119890630	5
1989070119890731	4
1989080119890831	4
1989090119890930	4
1989100119891031	4
1989110119891130	4
1989120119891231	4
1990010119900131	4
1990020119900228	4
1990030119900331	4
1990040119900430	4
1990050119900531	4
1990060119900630	4
1990070119900731	3
1990080119900831	3
1990090119900930	3
1990100119901031	3
1990110119901130	3
1990120119901231	3
1991010119910131	3
1991020119910228	3
1991030119910331	3
1991040119910430	3
1991050119910531	3
1991060119910630	3
1991070119910731	5
1991080119910831	5
1991090119910930	5
1991100119911031	5
1991110119911130	5
1991120119911231	5
1992010119920131	5
1992020119920229	5
1992030119920331	5
1992040119920430	5
1992050119920531	5
1992060119920630	5
1992070119920731	5
1992080119920831	5
1992090119920930	5
1992100119921031	5
1992110119921130	5
1992120119921231	5
1993010119930131	5
1993020119930228	5
1993030119930331	5
1993040119930430	5
1993050119930531	5
1993060119930630	5
1993070119930731	4
1993080119930831	4
1993090119930930	4
1993100119931031	4
1993110119931130	4
1993120119931231	4
1994010119940131	4
1994020119940228	4
1994030119940331	4
1994040119940430	4
1994050119940531	4
1994060119940630	4
1994070119940731	2
1994080119940831	2
1994090119940930	2
1994100119941031	2
1994110119941130	2
1994120119941231	2
1995010119950131	2
1995020119950228	2
1995030119950331	2
1995040119950430	2
1995050119950531	2
1995060119950630	2
1995070119950731	6
1995080119950831	6
1995090119950930	6
1995100119951031	6
1995110119951130	6
1995120119951231	6
1996010119960131	6
1996020119960229	6
1996030119960331	6
1996040119960430	6
1996050119960531	6
1996060119960630	6
1996070119960731	7
1996080119960831	7
1996090119960930	7
1996100119961031	7
1996110119961130	7
1996120119961231	7
1997010119970131	7
1997020119970228	7
1997030119970331	7
1997040119970430	7
1997050119970531	7
1997060119970630	7
1997070119970731	6
1997080119970831	6
1997090119970930	6
1997100119971031	6
1997110119971130	6
1997120119971231	6
1998010119980131	6
1998020119980228	6
1998030119980331	6
1998040119980430	6
1998050119980531	6
1998060119980630	6
1998070119980731	7
1998080119980831	7
1998090119980930	7
1998100119981031	7
1998110119981130	7
1998120119981231	7
1999010119990131	7
1999020119990228	7
1999030119990331	7
1999040119990430	7
1999050119990531	7
1999060119990630	7
1999070119990731	4
1999080119990831	4
1999090119990930	4
1999100119991031	4
1999110119991130	4
1999120119991231	4
2000010120000131	4
2000020120000229	4
2000030120000331	4
2000040120000430	4
2000050120000531	4
2000060120000630	4
2000070120000731	3
2000080120000831	3
2000090120000930	3
2000100120001031	3
2000110120001130	3
2000120120001231	3
2001010120010131	3
2001020120010228	3
2001030120010331	3
2001040120010430	3
2001050120010531	3
2001060120010630	3
2001070120010731	3
2001080120010831	3
2001090120010930	3
2001100120011031	3
2001110120011130	3
2001120120011231	3
2002010120020131	3
2002020120020228	3
2002030120020331	3
2002040120020430	3
2002050120020531	3
2002060120020630	3
2002070120020731	4
2002080120020831	4
2002090120020930	4
2002100120021031	4
2002110120021130	4
2002120120021231	4
2003010120030131	4
2003020120030228	4
2003030120030331	4
2003040120030430	4
2003050120030531	4
2003060120030630	4
2003070120030731	2
2003080120030831	2
2003090120030930	2
2003100120031031	2
2003110120031130	2
2003120120031231	2
2004010120040131	2
2004020120040229	2
2004030120040331	2
2004040120040430	2
2004050120040531	2
2004060120040630	2
2004070120040731	3
2004080120040831	3
2004090120040930	3
2004100120041031	3
2004110120041130	3
2004120120041231	3
2005010120050131	3
2005020120050228	3
2005030120050331	3
2005040120050430	3
2005050120050531	3
2005060120050630	3
2005070120050731	5
2005080120050831	5
2005090120050930	5
2005100120051031	5
2005110120051130	5
2005120120051231	5
2006010120060131	5
2006020120060228	5
2006030120060331	5
2006040120060430	5
2006050120060531	5
2006060120060630	5
2006070120060731	4
2006080120060831	4
2006090120060930	4
2006100120061031	4
2006110120061130	4
2006120120061231	4
2007010120070131	4
2007020120070228	4
2007030120070331	4
2007040120070430	4
2007050120070531	4
2007060120070630	4
2007070120070731	2
2007080120070831	2
2007090120070930	2
2007100120071031	2
2007110120071130	2
2007120120071231	2
2008010120080131	2
2008020120080229	2
2008030120080331	2
2008040120080430	2
2008050120080531	2
2008060120080630	2
2008070120080731	4
2008080120080831	4
2008090120080930	4
2008100120081031	4
2008110120081130	4
2008120120081231	4
2009010120090131	4
2009020120090228	4
2009030120090331	4
2009040120090430	4
2009050120090531	4
2009060120090630	4
2009070120090731	3
2009080120090831	3
2009090120090930	3
2009100120091031	3
2009110120091130	3
2009120120091231	3
2010010120100131	3
2010020120100228	3
2010030120100331	3
2010040120100430	3
2010050120100531	3
2010060120100630	3
2010070120100731	4
2010080120100831	4
2010090120100930	4
2010100120101031	4
2010110120101130	4
2010120120101231	4
2011010120110131	4
2011020120110228	4
2011030120110331	4
2011040120110430	4
2011050120110531	4
2011060120110630	4
2011070120110731	1
2011080120110831	1
2011090120110930	1
2011100120111031	1
2011110120111130	1
2011120120111231	1
2012010120120131	1
2012020120120229	1
2012030120120331	1
2012040120120430	1
2012050120120531	1
2012060120120630	1
2012070120120731	5
2012080120120831	5
2012090120120930	5
2012100120121031	5
2012110120121130	5
2012120120121231	5
2013010120130131	5
2013020120130228	5
2013030120130331	5
2013040120130430	5
