1969070119690731     2
1969080119690831     2
1969090119690930     2
1969100119691031     2
1969110119691130     2
1969120119691231     2
1970010119700131     2
1970020119700228     2
1970030119700331     2
1970040119700430     2
1970050119700531     2
1970060119700630     2
1970070119700731     5
1970080119700831     5
1970090119700930     5
1970100119701031     5
1970110119701130     5
1970120119701231     5
1971010119710131     5
1971020119710228     5
1971030119710331     5
1971040119710430     5
1971050119710531     5
1971060119710630     5
1971070119710731     4
1971080119710831     4
1971090119710930     4
1971100119711031     4
1971110119711130     4
1971120119711231     4
1972010119720131     4
1972020119720229     4
1972030119720331     4
1972040119720430     4
1972050119720531     4
1972060119720630     4
1972070119720731     7
1972080119720831     7
1972090119720930     7
1972100119721031     7
1972110119721130     7
1972120119721231     7
1973010119730131     7
1973020119730228     7
1973030119730331     7
1973040119730430     7
1973050119730531     7
1973060119730630     7
1973070119730731     8
1973080119730831     8
1973090119730930     8
1973100119731031     8
1973110119731130     8
1973120119731231     8
1974010119740131     8
1974020119740228     8
1974030119740331     8
1974040119740430     8
1974050119740531     8
1974060119740630     8
1974070119740731     7
1974080119740831     7
1974090119740930     7
1974100119741031     7
1974110119741130     7
1974120119741231     7
1975010119750131     7
1975020119750228     7
1975030119750331     7
1975040119750430     7
1975050119750531     7
1975060119750630     7
1975070119750731     6
1975080119750831     6
1975090119750930     6
1975100119751031     6
1975110119751130     6
1975120119751231     6
1976010119760131     6
1976020119760229     6
1976030119760331     6
1976040119760430     6
1976050119760531     6
1976060119760630     6
1976070119760731     4
1976080119760831     4
1976090119760930     4
1976100119761031     4
1976110119761130     4
1976120119761231     4
1977010119770131     4
1977020119770228     4
1977030119770331     4
1977040119770430     4
1977050119770531     4
1977060119770630     4
1977070119770731     4
1977080119770831     4
1977090119770930     4
1977100119771031     4
1977110119771130     4
1977120119771231     4
1978010119780131     4
1978020119780228     4
1978030119780331     4
1978040119780430     4
1978050119780531     4
1978060119780630     4
1978070119780731     1
1978080119780831     1
1978090119780930     1
1978100119781031     1
1978110119781130     1
1978120119781231     1
1979010119790131     1
1979020119790228     1
1979030119790331     1
1979040119790430     1
1979050119790531     1
1979060119790630     1
1979070119790731     6
1979080119790831     6
1979090119790930     6
1979100119791031     6
1979110119791130     6
1979120119791231     6
1980010119800131     6
1980020119800229     6
1980030119800331     6
1980040119800430     6
1980050119800531     6
1980060119800630     6
1980070119800731     8
1980080119800831     8
1980090119800930     8
1980100119801031     8
1980110119801130     8
1980120119801231     8
1981010119810131     8
1981020119810228     8
1981030119810331     8
1981040119810430     8
1981050119810531     8
1981060119810630     8
1981070119810731     6
1981080119810831     6
1981090119810930     6
1981100119811031     6
1981110119811130     6
1981120119811231     6
1982010119820131     6
1982020119820228     6
1982030119820331     6
1982040119820430     6
1982050119820531     6
1982060119820630     6
1982070119820731     4
1982080119820831     4
1982090119820930     4
1982100119821031     4
1982110119821130     4
1982120119821231     4
1983010119830131     4
1983020119830228     4
1983030119830331     4
1983040119830430     4
1983050119830531     4
1983060119830630     4
1983070119830731     5
1983080119830831     5
1983090119830930     5
1983100119831031     5
1983110119831130     5
1983120119831231     5
1984010119840131     5
1984020119840229     5
1984030119840331     5
1984040119840430     5
1984050119840531     5
1984060119840630     5
1984070119840731     9
1984080119840831     9
1984090119840930     9
1984100119841031     9
1984110119841130     9
1984120119841231     9
1985010119850131     9
1985020119850228     9
1985030119850331     9
1985040119850430     9
1985050119850531     9
1985060119850630     9
1985070119850731     7
1985080119850831     7
1985090119850930     7
1985100119851031     7
1985110119851130     7
1985120119851231     7
