1972 11   1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9
1972 12   2.09	2.09	2.09	2.09	2.09	2.09	2.09	2.09	2.09	2.09	2.09	2.09
1973  1   1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8
1973  2   1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2
1973  3   0.27	0.27	0.27	0.27	0.27	0.27	0.27	0.27	0.27	0.27	0.27	0.27
1973  4   -0.58	-0.58	-0.58	-0.58	-0.58	-0.58	-0.58	-0.58	-0.58	-0.58	-0.58	-0.58
1973  5   -0.97	-0.97	-0.97	-0.97	-0.97	-0.97	-0.97	-0.97	-0.97	-0.97	-0.97	-0.97
1973  6   -1.18	-1.18	-1.18	-1.18	-1.18	-1.18	-1.18	-1.18	-1.18	-1.18	-1.18	-1.18
1973  7   -1.54	-1.54	-1.54	-1.54	-1.54	-1.54	-1.54	-1.54	-1.54	-1.54	-1.54	-1.54
1973  8   -1.63	-1.63	-1.63	-1.63	-1.63	-1.63	-1.63	-1.63	-1.63	-1.63	-1.63	-1.63
1973  9   -1.66	-1.66	-1.66	-1.66	-1.66	-1.66	-1.66	-1.66	-1.66	-1.66	-1.66	-1.66
1973 10   -1.98	-1.98	-1.98	-1.98	-1.98	-1.98	-1.98	-1.98	-1.98	-1.98	-1.98	-1.98
1973 11   -2.37	-2.37	-2.37	-2.37	-2.37	-2.37	-2.37	-2.37	-2.37	-2.37	-2.37	-2.37
1973 12   -2.26	-2.26	-2.26	-2.26	-2.26	-2.26	-2.26	-2.26	-2.26	-2.26	-2.26	-2.26
1974  1   -2.09	-2.09	-2.09	-2.09	-2.09	-2.09	-2.09	-2.09	-2.09	-2.09	-2.09	-2.09
1974  2   -1.66	-1.66	-1.66	-1.66	-1.66	-1.66	-1.66	-1.66	-1.66	-1.66	-1.66	-1.66
1974  3   -1.45	-1.45	-1.45	-1.45	-1.45	-1.45	-1.45	-1.45	-1.45	-1.45	-1.45	-1.45
1974  4   -1.36	-1.36	-1.36	-1.36	-1.36	-1.36	-1.36	-1.36	-1.36	-1.36	-1.36	-1.36
1974  5   -1.29	-1.29	-1.29	-1.29	-1.29	-1.29	-1.29	-1.29	-1.29	-1.29	-1.29	-1.29
1974  6   -1.2	-1.2	-1.2	-1.2	-1.2	-1.2	-1.2	-1.2	-1.2	-1.2	-1.2	-1.2
1974  7   -0.9	-0.9	-0.9	-0.9	-0.9	-0.9	-0.9	-0.9	-0.9	-0.9	-0.9	-0.9
1974  8   -0.52	-0.52	-0.52	-0.52	-0.52	-0.52	-0.52	-0.52	-0.52	-0.52	-0.52	-0.52
1974  9   -0.64	-0.64	-0.64	-0.64	-0.64	-0.64	-0.64	-0.64	-0.64	-0.64	-0.64	-0.64
1974 10   -0.94	-0.94	-0.94	-0.94	-0.94	-0.94	-0.94	-0.94	-0.94	-0.94	-0.94	-0.94
1974 11   -1.09	-1.09	-1.09	-1.09	-1.09	-1.09	-1.09	-1.09	-1.09	-1.09	-1.09	-1.09
1974 12   -0.97	-0.97	-0.97	-0.97	-0.97	-0.97	-0.97	-0.97	-0.97	-0.97	-0.97	-0.97
1975  1   -0.45	-0.45	-0.45	-0.45	-0.45	-0.45	-0.45	-0.45	-0.45	-0.45	-0.45	-0.45
1975  2   -0.68	-0.68	-0.68	-0.68	-0.68	-0.68	-0.68	-0.68	-0.68	-0.68	-0.68	-0.68
1975  3   -1.09	-1.09	-1.09	-1.09	-1.09	-1.09	-1.09	-1.09	-1.09	-1.09	-1.09	-1.09
1975  4   -0.96	-0.96	-0.96	-0.96	-0.96	-0.96	-0.96	-0.96	-0.96	-0.96	-0.96	-0.96
1975  5   -1.13	-1.13	-1.13	-1.13	-1.13	-1.13	-1.13	-1.13	-1.13	-1.13	-1.13	-1.13
1975  6   -1.5	-1.5	-1.5	-1.5	-1.5	-1.5	-1.5	-1.5	-1.5	-1.5	-1.5	-1.5
1975  7   -1.39	-1.39	-1.39	-1.39	-1.39	-1.39	-1.39	-1.39	-1.39	-1.39	-1.39	-1.39
1975  8   -1.52	-1.52	-1.52	-1.52	-1.52	-1.52	-1.52	-1.52	-1.52	-1.52	-1.52	-1.52
1975  9   -1.66	-1.66	-1.66	-1.66	-1.66	-1.66	-1.66	-1.66	-1.66	-1.66	-1.66	-1.66
1975 10   -1.83	-1.83	-1.83	-1.83	-1.83	-1.83	-1.83	-1.83	-1.83	-1.83	-1.83	-1.83
1975 11   -1.66	-1.66	-1.66	-1.66	-1.66	-1.66	-1.66	-1.66	-1.66	-1.66	-1.66	-1.66
1975 12   -1.93	-1.93	-1.93	-1.93	-1.93	-1.93	-1.93	-1.93	-1.93	-1.93	-1.93	-1.93
1976  1   -2.01	-2.01	-2.01	-2.01	-2.01	-2.01	-2.01	-2.01	-2.01	-2.01	-2.01	-2.01
1976  2   -1.26	-1.26	-1.26	-1.26	-1.26	-1.26	-1.26	-1.26	-1.26	-1.26	-1.26	-1.26
1976  3   -0.82	-0.82	-0.82	-0.82	-0.82	-0.82	-0.82	-0.82	-0.82	-0.82	-0.82	-0.82
1976  4   -0.93	-0.93	-0.93	-0.93	-0.93	-0.93	-0.93	-0.93	-0.93	-0.93	-0.93	-0.93
1976  5   -0.74	-0.74	-0.74	-0.74	-0.74	-0.74	-0.74	-0.74	-0.74	-0.74	-0.74	-0.74
1976  6   -0.38	-0.38	-0.38	-0.38	-0.38	-0.38	-0.38	-0.38	-0.38	-0.38	-0.38	-0.38
1976  7   -0.16	-0.16	-0.16	-0.16	-0.16	-0.16	-0.16	-0.16	-0.16	-0.16	-0.16	-0.16
1976  8   0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
1976  9   0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
1976 10   0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75
